Passenger_ID,Flight_ID,Airline,Origin,Destination,Flight_Status,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,MembershipTier,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Distance_km,FlightDurationMinutes,DepartureDate,IsHoliday,Departure_Hour,Departure_Weekday,Departure_Month,Price,BaggageAllowance
P1,F68,Korean Air,NRT,ICN,On-time,47,Male,Medium,Emergency,Business,Platinum,Online,6.9,0.0,91,1,1,Window,1256,94,2024-03-27,0,6,2,3,222.63,40
P2,F1687,Korean Air,NRT,TPE,On-time,30,Female,Low,Family,Business,Gold,Airport Kiosk,5.3,2.0,45,0,0,Middle,2181,163,2024-12-28,1,9,5,12,342.86,20
P4,F1514,Qantas,KUL,HKG,On-time,75,Female,Medium,Leisure,Business,Platinum,Online,4.8,9.0,57,0,1,Window,2543,190,2023-10-31,0,8,1,10,789.64,0
P5,F1753,Korean Air,SIN,PVG,On-time,23,Male,High,Family,Economy,Silver,Desk,4.4,3.0,58,0,0,Middle,3805,285,2025-01-17,0,22,4,1,486.21,40
P6,F1928,Qantas,ICN,PVG,On-time,28,Female,Low,Emergency,Business,None,Online,4.4,11.0,68,0,0,Window,822,61,2025-02-15,1,1,5,2,603.79,0
P7,F532,Qantas,SYD,SIN,On-time,69,Female,Low,Emergency,Economy,Silver,Mobile App,4.9,17.0,37,0,0,Window,6293,472,2024-10-30,0,14,2,10,535.34,0
P8,F857,Qantas,BKK,HKG,On-time,59,Male,Medium,Emergency,Business,None,Airport Kiosk,3.5,11.0,49,0,0,Middle,1689,126,2023-11-12,1,13,6,11,621.0,20
P9,F16,Singapore Airlines,SYD,SIN,On-time,50,Female,Medium,Emergency,Economy,Gold,Online,8.2,16.0,57,0,0,Window,6293,472,2023-11-16,0,0,3,11,302.22,0
P10,F473,Malaysia Airlines,HKG,SIN,On-time,60,Female,Medium,Emergency,Economy,Platinum,Airport Kiosk,8.3,1.0,116,0,1,Aisle,2565,192,2025-04-18,1,1,4,4,667.42,20
P11,F960,Malaysia Airlines,KUL,BKK,On-time,77,Male,Medium,Business,Business,None,Mobile App,8.5,4.0,87,0,0,Middle,1220,91,2024-04-29,0,10,0,4,327.39,20
P12,F170,Japan Airlines,BKK,KUL,On-time,39,Male,Medium,Business,Premium Economy,Gold,Online,7.9,7.0,9,0,0,Middle,1220,91,2023-06-20,1,14,1,6,507.0,20
